site	hp	region
Boncuklu	0.0032354	C Anatolia
Boncuklu	0.0634224	C Anatolia
Boncuklu	0.0021852	C Anatolia
Boncuklu	0.0005235	C Anatolia
Boncuklu	0.0151000	C Anatolia
Boncuklu	0.0001000	C Anatolia
Boncuklu	0.0148000	C Anatolia
Boncuklu	0.0214000	C Anatolia
Boncuklu	0.0063000	C Anatolia
Boncuklu	0.0002000	C Anatolia
Boncuklu	0.0081000	C Anatolia
Boncuklu	0.0001000	C Anatolia
Boncuklu	0.0002000	C Anatolia
Boncuklu	0.0002000	C Anatolia
Boncuklu	0.0017000	C Anatolia
Boncuklu	0.0003000	C Anatolia
Boncuklu	0.0008000	C Anatolia
Boncuklu	0.0103000	C Anatolia
Boncuklu	0.0003000	C Anatolia
Boncuklu	0.0003000	C Anatolia
Boncuklu	0.0002000	C Anatolia
Boncuklu	0.0004000	C Anatolia
Boncuklu	0.0001000	C Anatolia
Boncuklu	0.0103000	C Anatolia
Boncuklu	0.0249000	C Anatolia
Boncuklu	0.0016000	C Anatolia
Boncuklu	0.0002000	C Anatolia
Boncuklu	0.0236000	C Anatolia
Boncuklu	0.0072000	C Anatolia
Boncuklu	0.0004000	C Anatolia
Boncuklu	0.0006000	C Anatolia
Boncuklu	0.0002000	C Anatolia
Boncuklu	0.0003000	C Anatolia
Boncuklu	0.0023000	C Anatolia
Boncuklu	0.0397000	C Anatolia
Aşıklı	0.0070000	C Anatolia
Aşıklı	0.0180000	C Anatolia
Aşıklı	0.0010000	C Anatolia
Aşıklı	0.1470000	C Anatolia
Aşıklı	0.1130000	C Anatolia
Aşıklı	0.0140000	C Anatolia
Aşıklı	0.0130000	C Anatolia
Aşıklı	0.0140000	C Anatolia
Çayönü	0.00080	Çayönü
Çayönü	0.00235	Çayönü
Çayönü	0.00102	Çayönü
Çayönü	0.01207	Çayönü
Çayönü	0.00149	Çayönü
Çayönü	0.00048	Çayönü
Çayönü	0.05713	Çayönü
Çayönü	0.00770	Çayönü
Çayönü	0.00102	Çayönü
Çayönü	0.00127	Çayönü
Çayönü	0.00591	Çayönü
Çayönü	0.01038	Çayönü
Çayönü	0.02303	Çayönü
Çayönü	0.01675	Çayönü
Çayönü	0.00391	Çayönü
Çayönü	0.00931	Çayönü
Çayönü	0.00101	Çayönü
Çayönü	0.00818	Çayönü
Çayönü	0.00057	Çayönü
Çayönü	0.00809	Çayönü
Çayönü	0.00105	Çayönü
Çayönü	0.00656	Çayönü
Çayönü	0.00137	Çayönü
Çayönü	0.00137	Çayönü
Çayönü	0.00122	Çayönü
Çayönü	0.00152	Çayönü
Çayönü	0.00351	Çayönü
Çayönü	0.00096	Çayönü
Çayönü	0.00155	Çayönü
Çayönü	0.00102	Çayönü
Çayönü	0.00104	Çayönü
Çayönü	0.00189	Çayönü
Çayönü	0.00368	Çayönü