ind	building	pop
CAY004	CL	Cayonu
CAY007	NA 	Cayonu
CAY008	CA	Cayonu
cay011	CN	Cayonu
cay012	CN	Cayonu
cay013	CA	Cayonu
cay014	NA	Cayonu
cay015	CL	Cayonu
cay016	CL	Cayonu
cay1820	NA	Cayonu
cay022	CR	Cayonu
cay027	CN	Cayonu
cay033	CL 	Cayonu
Ash002	AB	Asikli
Ash033	C	Asikli
Ash040	BH	Asikli
Ash128	B3	Asikli
Ash129	B3	Asikli
Ash131	B1	Asikli
Ash133	B1	Asikli
Ash136	B1	Asikli
cth006	114	Catalhoyuk
cth728	50	Catalhoyuk
cth842	50	Catalhoyuk
cth747	91	Catalhoyuk
pch034	89	Catalhoyuk
CCH144	17	Catalhoyuk
CCH285	17	Catalhoyuk
CCH163	50	Catalhoyuk
CCH289	50	Catalhoyuk
CCH290	50	Catalhoyuk
CCH294	50	Catalhoyuk
CCH311	114	Catalhoyuk
cth739	NA	Catalhoyuk
cth217	NA	Catalhoyuk
Bon001	14	Boncuklu
Bon002	NA	Boncuklu
Bon004	12	Boncuklu
Bon005	14	Boncuklu
ZHAG_BON004	14	Boncuklu
ZHAJ_BON034	NA	Boncuklu
ZHJ_BON024	14	Boncuklu
ZKO_BON001	9	Boncuklu
ZMOJ_BON014	NA	Boncuklu
I0707	5	Barcin
I0708	NA	Barcin
I0709	NA	Barcin
I0736	5	Barcin
I0744	14/15	Barcin
I0745	4	Barcin
I0746	NA	Barcin
I0854	5	Barcin
I1096	NA	Barcin
I1097	14/15	Barcin
I1098	14/15	Barcin
I1099	NA	Barcin
I1100	4	Barcin
I1101	4	Barcin
I1102	4	Barcin
I1103	NA	Barcin
I1579	NA	Barcin
I1580	NA	Barcin
I1581	NA	Barcin
I1583	NA	Barcin
I1585	NA	Barcin
Bar8	NA	Barcin
Bar31	NA	Barcin
Tep001	BB	Tepecik
Tep002	NA	Tepecik
Tep003	16K	Tepecik
Tep004	AK	Tepecik
Tep006	AK	Tepecik