site	long	lat	region
WF16	35.45256	30.61273	S Levant
Aşıklı Höyük	34.22980	38.34920	C Anatolia
Kaletepe	34.57580	38.28450	C Anatolia
Musular	34.22600	38.34750	C Anatolia
Pınarbaşı	33.01710	37.49390	C Anatolia
Ali Kosh	47.32470	32.55760	C Zagros / SW Iran
Asiab	47.13808	34.32293	C Zagros / SW Iran
Chia Sabz	47.13860	33.34370	C Zagros / SW Iran
Chogha Bonut	48.50500	32.22220	C Zagros / SW Iran
Chogha Golan	46.27110	33.37730	C Zagros / SW Iran
Ganj Dareh	47.47580	34.27210	C Zagros / SW Iran
Sheikh-e Abad	47.26960	34.61150	C Zagros / SW Iran
Tepe Abdul Hosein	48.16000	34.18000	C Zagros / SW Iran
Bestansur	45.20590	35.37680	NW Zagros / N Iraq
Jarmo	44.95028	35.54889	NW Zagros / N Iraq
M’lefaat	43.58670	35.41590	NW Zagros / N Iraq
Nemrik	42.85000	36.71670	NW Zagros / N Iraq
Qermez Dere	42.83333	36.51667	NW Zagros / N Iraq
Satu Qala	44.69632	35.87434	NW Zagros / N Iraq
Shimshara	44.93820	36.20050	NW Zagros / N Iraq
Tell Maghzaliyah	42.32000	36.39000	NW Zagros / N Iraq
Kharaysin	36.00889	32.20389	S Levant
Tell Abu Suwwan	35.83157	32.45479	S Levant
Ain Ghazal	35.97600	31.98800	S Levant
Beidha	35.44780	30.37080	S Levant
Jericho	35.44390	31.87110	S Levant
Kfar HaHoresh	35.27440	32.70560	S Levant
Motza	35.16850	31.79390	S Levant
Bouqras	40.39745	35.08527	Upper/Middle Euphrates
Karahan Tepe	39.30411	37.09423	Upper/Middle Euphrates
Göbeklitepe	38.92244	37.22292	Upper/Middle Euphrates
Abu Hureyra	38.39330	35.86830	Upper/Middle Euphrates
Akarçay Tepe	38.02570	36.91910	Upper/Middle Euphrates
Cafer Höyük	38.75310	38.41610	Upper/Middle Euphrates
Gritille	38.56540	37.54920	Upper/Middle Euphrates
Jerf el-Ahmar	38.20830	36.39170	Upper/Middle Euphrates
Mezraa-Teleilat	37.98625	36.97750	Upper/Middle Euphrates
Mureybet	38.12870	36.04340	Upper/Middle Euphrates
Nevalı Çori	38.60560	37.51830	Upper/Middle Euphrates
Tell ‘Abr	38.08640	36.68190	Upper/Middle Euphrates
Tell Halula	38.16670	36.41670	Upper/Middle Euphrates
Tell Seker al-Aheimar	40.31670	36.66670	Upper/Middle Euphrates
Boncuklu Tarla	41.83204	37.52955	Upper Tigris
Sumaki Höyük	41.30420	37.91711	Upper Tigris
Demirköy	41.82140	37.76720	Upper Tigris
Gusir Höyük	41.82122	37.72735	Upper Tigris
Hallan Çemi	41.23890	38.22720	Upper Tigris
Hasankeyf Höyük	41.43900	37.70690	Upper Tigris
Körtik Tepe	40.98802	37.81571	Upper Tigris
Çayönü	39.72629	38.21825	Upper Tigris